production_budget_usd,worldwide_gross_usd
1000000,26
10000,401
400000,423
750000,450
10000,527
1800000,673
1000000,703
6600000,828
1000000,884
7000,900
2000000,926
1000000,1036
700000,1160
200000,1217
9000000,1242
12000,1336
5000,1338
100000,1358
1400000,1632
300000,1711
500000,1778
500000,1822
10000,1987
1500000,2105
5000000,2199
9000000,2243
2000000,2436
175000,2602
1100000,2636
6500000,3149
3380000,3220
250000,3234
850000,3256
1600000,3264
600000,3301
2100000,3330
15000000,3471
300000,3496
27000,3547
40000,3632
200000,3648
1000000,3700
560000,3709
500000,4134
1200000,4254
4000000,4327
9000,4584
3000000,4655
15000000,4892
60000,4917
70000,4930
26000000,5000
3000000,5073
2000000,5361
1000000,5382
1000000,5494
150000,5858
200000,6260
18000000,6784
1000000,6870
200000,7033
150000,7193
900000,7396
240000,7484
5000000,7556
3250000,7680
1200000,7826
500000,7890
600000,7943
989000,8158
27000,8231
5000000,8297
50000,8374
560000,8462
70000,8555
75000,8799
10000000,9069
550000,9111
350000,9118
2500000,9598
30000,9812
1000000,9837
3500000,9871
2000000,10024
700000,10508
300000,10514
2000000,10679
300000,10876
35000000,11106
1000000,11574
4500000,11774
10000000,11894
500000,12232
4000000,12302
1900000,12444
425000,12604
3400000,12636
2000000,12667
4000000,12836
250000,12848
1000000,12996
500000,13134
1300000,13465
450000,13486
7500000,13524
6000000,13722
170000,14000
9000000,14443
12000000,14616
640000,14812
3800000,14873
5800000,15091
1000000,15156
4900000,15198
103000,16137
2650000,16556
1300000,16653
820000,16909
2000000,17061
1000000,17127
300000,17241
21000000,17396
180000,17503
4000000,17639
1000000,17721
2000000,17896
250000,18823
8000000,19585
10000000,19716
500000,19800
3300000,19875
100000,20056
5250000,20097
250000,20628
2000000,21000
1000000,21210
6840000,22273
1000000,22434
15000000,22441
450000,22623
15000000,22723
600000,23616
5500000,24956
40000,25572
2900000,25935
6000000,26007
1200000,26608
1000000,26822
1100000,27561
5500000,28468
2000000,28864
15000000,29050
3500000,29233
2300000,29384
168000,29827
70000,30312
930000,30905
2000000,30955
400000,31425
16000000,31631
1500000,31916
500000,32033
160000,32092
6000000,32544
7500000,32572
150000,32927
4500000,32961
300000,33312
68000,33598
4000000,34145
2500000,35017
2000000,35312
800000,35688
7000000,35919
6000000,36497
4000000,36630
2000000,37227
2160000,37865
300000,39475
3000000,39852
3300000,40262
3800000,41914
450000,42503
600000,42557
300000,42735
400000,44452
3750000,44462
747000,44566
200000,44701
2000000,45431
10000000,45779
7000000,46488
750000,47329
3000000,47469
11900000,48856
6800000,49526
250000,51540
1000000,51587
4500000,51957
1500000,52429
200000,52443
8000000,53086
500000,53201
500000,55000
1400000,56073
1100000,56491
5500000,56653
800000,58163
1500000,58692
1200000,58936
100000,59424
750000,59656
2300000,59696
15000000,61847
250000,62375
800000,62544
1000000,63014
4000000,63180
2000000,63555
6500000,64148
4000000,64359
5000000,67505
250000,67665
5700000,69582
10000000,70527
300000,70807
2600000,71248
7000,71644
2500000,72260
2000000,72277
2000000,72544
45000000,73706
4000000,75078
15000000,76382
2000000,76654
500000,77121
950000,78122
3000000,78948
40000000,79123
1200000,81338
1100000,81371
11900000,81897
30000,82698
3000000,82780
5000000,83356
350000,84689
600000,85343
9000000,85527
300000,87264
12000000,87793
400000,89134
1300000,90213
10000000,90909
25000000,91116
4500000,92723
10000,94596
16000000,94812
3000000,95204
1000000,96734
5000000,96760
3500000,96793
5000000,99147
2500000,100280
1000000,101531
4200000,101740
3000000,101773
2000000,102645
1000000,102812
30000,103509
7000000,103962
2000000,105377
10000000,106466
2500000,108907
10000000,109144
10000000,109383
100000,110536
150000,110719
1500000,113169
1000000,113433
3500000,113783
15000,115592
3000000,115879
6000000,117796
9500000,118482
2500000,118666
6000000,119452
1500000,119841
4000000,120016
5000000,121016
2000000,121807
3100000,123407
10500000,125169
10000000,126247
400000,126387
8000000,127188
25000000,129115
1600000,129319
1000000,130874
3000000,133411
2000000,134624
26000000,135436
10000,138711
1500000,139084
1900000,139317
200000,140016
30000000,141661
5000000,143273
30000000,143490
8000000,143782
1600000,145382
8000000,146083
25000000,146149
4000000,146402
2000000,147299
9000000,148826
10000000,150191
500000,152449
3000000,156362
160000,156612
18000000,157002
10000000,161097
200000,162605
3000000,163069
13400000,164247
1500000,165049
30000000,168832
170000,169242
650000,171962
1500000,172569
2900000,172867
1500000,173066
10000000,173472
600000,173599
10000000,173613
2500000,174255
200000,174682
300000,177507
250000,178095
12000000,178287
1100,181041
6000000,181798
42000000,182156
2450000,182358
3500000,182695
9000000,184255
1500000,184705
4000000,185577
250000,191862
1500000,194568
25000,195043
15000,195254
7000000,196067
40000000,196090
12000000,196857
8500000,198883
800000,200433
250000,203134
7500000,206400
9000000,208163
1300000,210904
200000,212989
1000000,213137
1000000,215559
12000000,220175
15000000,220944
3500000,221096
3000000,223652
6700000,223878
10000000,226792
1000000,227241
750000,229250
18000000,229311
11000000,229653
200000,236806
1500000,236863
250000,237816
4700000,239962
1500000,240396
6000,240495
10000000,241719
1600000,242443
3000000,242623
30000,243768
10000000,244465
1100000,247740
3000000,252726
500000,254293
1200000,255000
10600000,261364
14000000,266967
6000000,267194
4000000,267972
500000,271736
14000000,274299
40000,277233
20000000,277943
4500000,281447
5000000,282687
250000,284174
1900000,285593
100000,287000
1300000,288751
1000000,288757
10000000,290875
7200000,295492
3000000,295493
10000000,295750
4000000,302204
1000000,304472
2000000,304602
20000000,305070
7000000,306715
500000,308793
350000,310891
12000000,310946
4200000,313230
2100000,313436
10000000,314073
500000,314444
18000000,315000
15500000,318623
35000,321952
4000000,324218
17500000,325491
1300000,329621
3000000,331000
5000000,332120
3800000,340930
42000,342722
200000,346106
9000000,349618
5000000,353480
15000000,353743
4000000,354704
1000000,354836
10000000,355919
33000000,357687
17000000,364607
500000,367582
800000,371647
1500000,372239
4000000,373375
300000,373615
20000000,375474
3000000,379161
900000,381420
7000000,382946
4000000,384244
2200000,388390
6000000,391942
4000000,399793
300000,399908
50000,406299
500000,407100
5000000,407488
6000000,408159
7000000,411874
900000,413733
12000,413802
1500000,414404
8000000,414617
1125000,414736
1500000,418953
1600000,419428
5800000,421021
50000,424149
1000000,428535
25000,428923
135000,429448
400000,433588
420000,435168
200000,439651
5300000,440821
4000000,442550
850000,442638
8000000,446438
450000,450349
12000000,450594
9000000,454255
8000000,456814
9900000,458054
8000000,458232
800000,462206
7000000,463039
40000000,463730
2000000,466106
1000000,473769
2800000,475000
1000000,475367
1900000,478595
2000000,481525
7000000,492108
3400000,493905
2500000,497195
2400000,500296
1000000,501289
2500000,507446
13000000,509193
6000000,509424
1500000,510957
15500000,517262
8000000,524747
15000000,528731
15000000,529766
5600000,531806
2000000,539961
1000000,542909
14200000,543306
1000000,549185
2500000,549632
1000000,552614
10000000,552641
7500000,555335
12000000,557545
4000000,563711
2600000,564474
14500000,565801
5000000,567219
2300000,574838
8000000,589308
8000000,590817
2500000,593933
1200000,595018
4500000,597989
10000000,598645
500000,602789
66000,602920
21000000,606162
1300000,609042
825000,610776
375000,617172
12000000,622273
14000000,623292
38000000,623374
1000000,627287
18000000,627422
10000000,630427
35000000,630779
1750000,634803
1300000,635305
2000000,636706
5000000,648183
400000,655538
1700000,661221
24000000,669276
10000,673780
18000000,676698
4000000,679482
500000,680914
3200000,690872
2000000,691880
1000000,703020
4500000,713413
7000000,719699
10000000,721108
10000000,723388
5700000,731613
4600000,731767
1900000,740932
250000,743216
1300000,749741
2000000,759504
4000000,760678
6000000,773490
20000000,774905
25000000,780326
1800000,783733
35000000,786532
5250000,786677
21600000,791154
4000000,797439
4000000,800000
950000,814666
750000,814801
270000,830700
3000000,834953
10000000,836641
1000000,839145
7000,841926
1800000,842693
1000000,844377
5000000,851690
1000000,852206
